CODE;VERSION;STATUS_CODE;ORIG_SALES_CHANNEL_CODE;CURR_SALES_CHANNEL_CODE;TRAVEL_AGENT_CODE;TRAVEL_AGENT_NAME;AGENT_CONTACT;LOYALTY_MEMBER_STATED;OFFER_CODE;DATE_CREATED;date;FIRST_EVENT;LAST_EVENT;CURRENCY_CODE;TOTAL_PRICE;SUB_SALES_CHANNEL_CODE;OLP_ID;PAYMENT_METHOD_CODE;PAYMENT_DATE;PAYMENT_DESCRIPTION;OUT_ROUTE_CODE;OUT_FERRY_CODE;OUT_PRODUCT_CODE;OUT_DEPARTURE_DATE;dptdate;daysahead;OUT_DEPARTURE_TIME;OUT_NO_OF_INFANT;OUT_NO_OF_ADULT;OUT_NO_OF_STUDENT;OUT_NO_OF_SENIOR;OUT_NO_OF_CHILD;OUT_VEHICLE_CATEGORY;OUT_VEHICLE_CATEGORY_DESC;OUT_CABIN_CODE;OUT_CABIN_DESCRIPTION;OUT_CABIN_NO_RESERVED;OUT_ROOM_CATEGORY_CODE;OUT_ROOM_CODE;OUT_ROOM_DESCRIPTION;HOME_ROUTE_CODE;HOME_FERRY_CODE;HOME_PRODUCT_CODE;HOME_DEPARTURE_DATE;returndate;cleandate;HOME_DEPARTURE_TIME;HOME_NO_OF_INFANT;HOME_NO_OF_ADULT;HOME_NO_OF_STUDENT;HOME_NO_OF_SENIOR;HOME_NO_OF_CHILD;HOME_VEHICLE_CATEGORY;HOME_VEHICLE_CATEGORY_DESC;HOME_CABIN_CODE;HOME_CABIN_DESCRIPTION;HOME_CABIN_NO_RESERVED;HOME_ROOM_CATEGORY_CODE;HOME_ROOM_CODE;HOME_ROOM_DESCRIPTION;CUSTOMER_ID;POSTCODE;TOWN;COUNTRY_CODE;HAS_STORED_PROFILE;LOYALTY_TYPE;LOYALTY_JOINED_DATE
70000867;2;CONFIRMED;PIB;PIB;;;;0;;2015-06-07 16:20:44.000;2015-06-07;2015-06-16 00:00:00.000;2015-06-19 18:45:00.000;SEK;2346.00;;;CC;2015-06-07 16:24:06.953;CC Credit Card in Call Centre;GOFR;DANI;ECONOMY;2015-06-16 00:00:00.000;2015-06-16;9;910;;2;;;2;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;GRVA;NAUT;ECONOMY;2015-06-19 00:00:00.000;2015-06-19;3;1420;;2;;;2;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;120494;12248;Enskede;SWE;0;;
70000878;1;CONFIRMED;PIB;PIB;;;;0;;2014-07-04 15:27:30.000;2014-07-04;2014-07-15 00:00:00.000;2014-07-18 09:15:00.000;SEK;7280.00;;;CC;2014-07-04 15:30:38.400;CC Credit Card in Call Centre;GOKI;GERM;ECONOMY;2014-07-15 00:00:00.000;2014-07-15;11;1845;;1;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;BUS2O;Business Class, 2-berth cabin, window;1;RESTAURANT;TY05BREAK;Breakfast Restaurant ;KIGO;SCAN;ECONOMY;2014-07-17 00:00:00.000;2014-07-17;2;1845;;1;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;SKY4R;Skylight Round, 2 berth cabin;1;RESTAURANT;TY05BREAK;Breakfast Restaurant ;213595;431 37;Mölndal;SWE;1;;
70000888;4;CONFIRMED;CCD;CCD;;;;1;;2014-09-26 16:52:53.000;2014-09-26;2014-10-01 00:00:00.000;2014-10-02 09:15:00.000;SEK;4796.00;;;CC;2014-09-26 16:55:07.793;CC Credit Card in Call Centre;KIGO;SCAN;FLEXI;2014-10-01 00:00:00.000;2014-10-01;5;1845;;2;;;;MOH1000400;Motorhome/Minibus to 10m long;SKY4R;Skylight Round, 2 berth cabin;1;RESTAURANT;TY10GLOB1;Restaurant Taste, 18.00;;;;;;noReturnTrip;;;;;;;;;;;;;;;212718;45337;Lysekil;SWE;1;STSWG;2010-10-28 00:00:00.000
70000915;1;CONFIRMED;PIB;PIB;;;;0;ENJOY25;2015-04-19 09:31:07.000;2015-04-19;2015-05-06 00:00:00.000;2015-05-11 09:15:00.000;SEK;3637.60;;;CC;2015-04-19 09:36:06.020;CC Credit Card in Call Centre;GOKI;SCAN;SGKRETURN;2015-05-06 00:00:00.000;2015-05-06;17;1845;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;2O;2-berth outside cabin;1;;;;KIGO;GERM;SGKRETURN;2015-05-10 00:00:00.000;2015-05-10;4;1845;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;2O;2-berth outside cabin;1;;;;187785;42135;Västra Frölunda;SWE;1;;
70000928;1;CONFIRMED;PIB;PIB;;;;1;BOKANU;2015-01-22 01:07:07.000;2015-01-22;2015-04-20 00:00:00.000;2015-04-21 09:30:00.000;SEK;1055.50;;;CC;2015-01-22 01:11:31.083;CC Credit Card in Call Centre;GDKA;BALT;ECONOMY;2015-04-20 00:00:00.000;2015-04-20;88;2200;;;;1;;CAR600200;Car, MPV, 4x4 up to 1.8m high;2ENSSW;Economy Class, 2-berth cabin inside (shared bathroom);1;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;101075;573 36;Tranås;SWE;1;STSWB;2003-10-02 00:00:00.000
70000932;1;CONFIRMED;PIB;PIB;;;;0;;2014-06-03 16:30:46.000;2014-06-03;2014-07-02 00:00:00.000;2014-07-02 15:15:00.000;SEK;1019.00;;;IB;2014-06-03 16:36:48.747;IB INTERNET BANK PAYMENT;FRGO;DANI;FLEXI;2014-07-02 00:00:00.000;2014-07-02;29;1150;;;;2;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;25840;59072;Ljungsbro;SWE;1;;
70000968;1;CONFIRMED;PIB;PIB;;;;0;;2014-12-01 19:56:30.000;2014-12-01;2014-12-02 00:00:00.000;2014-12-04 17:25:00.000;SEK;310.00;;;CC;2014-12-01 19:58:17.570;CC Credit Card in Call Centre;GOFR;DANI;FLEXI;2014-12-02 00:00:00.000;2014-12-02;1;915;;1;;;;;;;;;;;;FRGO;DANI;ECONOMY;2014-12-04 00:00:00.000;2014-12-04;2;1400;;1;;;;;;;;;;;;174748;41506;Göteborg;SWE;0;;
70000978;1;CONFIRMED;MOB;MOB;;;;0;;2014-08-04 15:59:26.000;2014-08-04;2014-08-05 00:00:00.000;2014-08-05 11:15:00.000;SEK;195.00;;;CC;2014-08-04 16:00:29.887;CC Credit Card in Call Centre;FRGO;JUTL;FLEXI;2014-08-05 00:00:00.000;2014-08-05;1;800;;1;;;;;;;;;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;60022;47142;Rönnäng;SWE;1;;
70000985;1;CONFIRMED;SWS;SWS;STSW01245 ;STENA LINE TRAVEL GROUP AB;Sembo;0;;2015-04-07 22:49:51.000;2015-04-07;2015-05-04 00:00:00.000;2015-05-07 18:45:00.000;SEK;931.20;SEMBO;;IV;2015-05-05 01:12:28.860;IV Invoice;VAGR;NAUT;HECONOMY;2015-05-04 00:00:00.000;2015-05-04;27;850;;2;;;2;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;GRVA;NAUT;HECONOMY;2015-05-07 00:00:00.000;2015-05-07;3;1420;;2;;;2;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;157103;43446;Kungsbacka;SWE;0;;
70001000;1;CONFIRMED;PIB;PIB;;;;0;;2015-06-22 22:58:08.000;2015-06-22;2015-06-24 00:00:00.000;2015-06-24 23:20:00.000;SEK;0.00;;;;;;GOFR;DANI;DAGX50;2015-06-24 00:00:00.000;2015-06-24;2;800;;2;;;1;;;;;;;;;FRGO;DANI;DAGX50;2015-06-24 00:00:00.000;2015-06-24;0;2000;;2;;;1;;;;;;;;;227830;42149;Göteborg;SWE;1;;
