VisitorCookieID;2015-12-21;2015-12-22;2015-12-23;2015-12-24;2015-12-25;2015-12-26;2015-12-27;2015-12-28;2015-12-29;2015-12-30;2015-12-31;2016-01-01;2016-01-02;2016-01-03;2016-01-04;2016-01-05;2016-01-06;2016-01-07;2016-01-08;2016-01-09;2016-01-10;2016-01-11;2016-01-12;2016-01-13;2016-01-14;2016-01-15;2016-01-16;2016-01-17;2016-01-18;2016-01-19;2016-01-20;2016-01-21;2016-01-22;2016-01-23;2016-01-24;2016-01-25;2016-01-26;2016-01-27;2016-01-28;2016-01-29;2016-01-30
1225839509;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1226931645;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1228619070;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1229762527;1;1;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1230917217;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1233128209;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1235438407;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1236699355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;
1238185102;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1246158286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;2;;;;
1247677121;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;
1248446972;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1253020805;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1254588313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1257879434;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
1262059364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
126710646;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
127002126;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1270100878;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;
127172411;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1272764057;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
1275168565;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1275801683;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;
1276104187;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
1276925506;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1278006811;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1279654409;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1279821570;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1281977174;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1282644229;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1288019176;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1288281747;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1294528324;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1294753715;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
1294955531;;;;;;;;;;2;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1295304982;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
